TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8530
Serial Number:,8530172811
Test ID:,001
Test Abbreviation:,MANUAL_001
Start Date:,20-01-2020
Start Time:,13:01:58
Duration (dd:hh:mm:ss):,2:01:00:00
Log Interval (mm:ss):,00:30
Number of points:,5880
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.092
,Minimum:,0.039
,Time of Minimum:,14:45:28
,Date of Minimum:,20-01-2020
,Maximum:,2.210
,Time of Maximum:,07:57:28
,Date of Maximum:,22-01-2020

Calibration,Sensor:,AEROSOL
,Cal. date,14-07-2017

Date,Time,AEROSOL
20-01-2020,15:05:58,0.042
20-01-2020,15:06:28,0.042
20-01-2020,15:06:58,0.042
20-01-2020,15:07:28,0.042
20-01-2020,15:07:58,0.042
20-01-2020,15:08:28,0.042
20-01-2020,15:08:58,0.042
20-01-2020,15:09:28,0.042
20-01-2020,15:09:58,0.041
20-01-2020,15:10:28,0.040
20-01-2020,15:10:58,0.040
20-01-2020,15:11:28,0.039
20-01-2020,15:11:58,0.040
20-01-2020,15:12:28,0.040
20-01-2020,15:12:58,0.039
20-01-2020,15:13:28,0.040
20-01-2020,15:13:58,0.040
20-01-2020,15:14:28,0.039
20-01-2020,15:14:58,0.040
20-01-2020,15:15:28,0.040
20-01-2020,15:15:58,0.040
20-01-2020,15:16:28,0.039
20-01-2020,15:16:58,0.039
20-01-2020,15:17:28,0.039
20-01-2020,15:17:58,0.039
20-01-2020,15:18:28,0.040
20-01-2020,15:18:58,0.039
20-01-2020,15:19:28,0.039
20-01-2020,15:19:58,0.040
20-01-2020,15:20:28,0.040
20-01-2020,15:20:58,0.040
20-01-2020,15:21:28,0.040
20-01-2020,15:21:58,0.040
20-01-2020,15:22:28,0.040
20-01-2020,15:22:58,0.040
20-01-2020,15:23:28,0.040
20-01-2020,15:23:58,0.040
20-01-2020,15:24:28,0.040
20-01-2020,15:24:58,0.040
20-01-2020,15:25:28,0.040
20-01-2020,15:25:58,0.040
20-01-2020,15:26:28,0.040
20-01-2020,15:26:58,0.040
20-01-2020,15:27:28,0.040
20-01-2020,15:27:58,0.040
20-01-2020,15:28:28,0.040
20-01-2020,15:28:58,0.040
20-01-2020,15:29:28,0.041
20-01-2020,15:29:58,0.041
20-01-2020,15:30:28,0.041
20-01-2020,15:30:58,0.041
20-01-2020,15:31:28,0.041
20-01-2020,15:31:58,0.041
20-01-2020,15:32:28,0.041
20-01-2020,15:32:58,0.041
20-01-2020,15:33:28,0.041
20-01-2020,15:33:58,0.041
20-01-2020,15:34:28,0.040
20-01-2020,15:34:58,0.041
20-01-2020,15:35:28,0.041
20-01-2020,15:35:58,0.041
20-01-2020,15:36:28,0.042
20-01-2020,15:36:58,0.041
20-01-2020,15:37:28,0.042
20-01-2020,15:37:58,0.041
20-01-2020,15:38:28,0.041
20-01-2020,15:38:58,0.041
20-01-2020,15:39:28,0.042
20-01-2020,15:39:58,0.041
20-01-2020,15:40:28,0.041
20-01-2020,15:40:58,0.041
20-01-2020,15:41:28,0.041
20-01-2020,15:41:58,0.041
20-01-2020,15:42:28,0.041
20-01-2020,15:42:58,0.041
20-01-2020,15:43:28,0.040
20-01-2020,15:43:58,0.041
20-01-2020,15:44:28,0.040
20-01-2020,15:44:58,0.039
20-01-2020,15:45:28,0.040
20-01-2020,15:45:58,0.040
20-01-2020,15:46:28,0.040
20-01-2020,15:46:58,0.040
20-01-2020,15:47:28,0.040
20-01-2020,15:47:58,0.040
20-01-2020,15:48:28,0.040
20-01-2020,15:48:58,0.039
20-01-2020,15:49:28,0.040
20-01-2020,15:49:58,0.040
20-01-2020,15:50:28,0.040
20-01-2020,15:50:58,0.040
20-01-2020,15:51:28,0.041
20-01-2020,15:51:58,0.043
20-01-2020,15:52:28,0.043
20-01-2020,15:52:58,0.046
20-01-2020,15:53:28,0.046
20-01-2020,15:53:58,0.044
20-01-2020,15:54:28,0.044
20-01-2020,15:54:58,0.046
20-01-2020,15:55:28,0.046
20-01-2020,15:55:58,0.044
20-01-2020,15:56:28,0.044
20-01-2020,15:56:58,0.043
20-01-2020,15:57:28,0.043
20-01-2020,15:57:58,0.043
20-01-2020,15:58:28,0.043
20-01-2020,15:58:58,0.043
20-01-2020,15:59:28,0.043
20-01-2020,15:59:58,0.043
20-01-2020,16:00:28,0.044
20-01-2020,16:00:58,0.044
20-01-2020,16:01:28,0.044
20-01-2020,16:01:58,0.044
20-01-2020,16:02:28,0.046
20-01-2020,16:02:58,0.045
20-01-2020,16:03:28,0.045
20-01-2020,16:03:58,0.045
20-01-2020,16:04:28,0.047
20-01-2020,16:04:58,0.044
20-01-2020,16:05:28,0.043
20-01-2020,16:05:58,0.042
20-01-2020,16:06:28,0.042
20-01-2020,16:06:58,0.042
20-01-2020,16:07:28,0.043
20-01-2020,16:07:58,0.043
20-01-2020,16:08:28,0.043
20-01-2020,16:08:58,0.046
20-01-2020,16:09:28,0.046
20-01-2020,16:09:58,0.047
20-01-2020,16:10:28,0.047
20-01-2020,16:10:58,0.046
20-01-2020,16:11:28,0.045
20-01-2020,16:11:58,0.045
20-01-2020,16:12:28,0.046
20-01-2020,16:12:58,0.047
20-01-2020,16:13:28,0.045
20-01-2020,16:13:58,0.046
20-01-2020,16:14:28,0.046
20-01-2020,16:14:58,0.047
20-01-2020,16:15:28,0.046
20-01-2020,16:15:58,0.048
20-01-2020,16:16:28,0.044
20-01-2020,16:16:58,0.043
20-01-2020,16:17:28,0.043
20-01-2020,16:17:58,0.043
20-01-2020,16:18:28,0.043
20-01-2020,16:18:58,0.043
20-01-2020,16:19:28,0.043
20-01-2020,16:19:58,0.043
20-01-2020,16:20:28,0.044
20-01-2020,16:20:58,0.043
20-01-2020,16:21:28,0.043
20-01-2020,16:21:58,0.044
20-01-2020,16:22:28,0.042
20-01-2020,16:22:58,0.043
20-01-2020,16:23:28,0.042
20-01-2020,16:23:58,0.043
20-01-2020,16:24:28,0.045
20-01-2020,16:24:58,0.046
20-01-2020,16:25:28,0.045
20-01-2020,16:25:58,0.044
20-01-2020,16:26:28,0.051
20-01-2020,16:26:58,0.051
20-01-2020,16:27:28,0.047
20-01-2020,16:27:58,0.046
20-01-2020,16:28:28,0.045
20-01-2020,16:28:58,0.043
20-01-2020,16:29:28,0.043
20-01-2020,16:29:58,0.041
20-01-2020,16:30:28,0.042
20-01-2020,16:30:58,0.042
20-01-2020,16:31:28,0.042
20-01-2020,16:31:58,0.042
20-01-2020,16:32:28,0.044
20-01-2020,16:32:58,0.048
20-01-2020,16:33:28,0.046
20-01-2020,16:33:58,0.045
20-01-2020,16:34:28,0.047
20-01-2020,16:34:58,0.046
20-01-2020,16:35:28,0.047
20-01-2020,16:35:58,0.047
20-01-2020,16:36:28,0.052
20-01-2020,16:36:58,0.051
20-01-2020,16:37:28,0.050
20-01-2020,16:37:58,0.048
20-01-2020,16:38:28,0.046
20-01-2020,16:38:58,0.046
20-01-2020,16:39:28,0.045
20-01-2020,16:39:58,0.043
20-01-2020,16:40:28,0.043
20-01-2020,16:40:58,0.043
20-01-2020,16:41:28,0.042
20-01-2020,16:41:58,0.043
20-01-2020,16:42:28,0.043
20-01-2020,16:42:58,0.043
20-01-2020,16:43:28,0.042
20-01-2020,16:43:58,0.046
20-01-2020,16:44:28,0.045
20-01-2020,16:44:58,0.045
20-01-2020,16:45:28,0.045
20-01-2020,16:45:58,0.045
20-01-2020,16:46:28,0.046
20-01-2020,16:46:58,0.046
20-01-2020,16:47:28,0.043
20-01-2020,16:47:58,0.043
20-01-2020,16:48:28,0.044
20-01-2020,16:48:58,0.044
20-01-2020,16:49:28,0.044
20-01-2020,16:49:58,0.043
20-01-2020,16:50:28,0.045
20-01-2020,16:50:58,0.044
20-01-2020,16:51:28,0.043
20-01-2020,16:51:58,0.045
20-01-2020,16:52:28,0.045
20-01-2020,16:52:58,0.046
20-01-2020,16:53:28,0.046
20-01-2020,16:53:58,0.052
20-01-2020,16:54:28,0.050
20-01-2020,16:54:58,0.045
20-01-2020,16:55:28,0.044
20-01-2020,16:55:58,0.044
20-01-2020,16:56:28,0.044
20-01-2020,16:56:58,0.044
20-01-2020,16:57:28,0.044
20-01-2020,16:57:58,0.044
20-01-2020,16:58:28,0.045
20-01-2020,16:58:58,0.045
20-01-2020,16:59:28,0.045
20-01-2020,16:59:58,0.045
20-01-2020,17:00:28,0.045
20-01-2020,17:00:58,0.044
20-01-2020,17:01:28,0.045
20-01-2020,17:01:58,0.045
20-01-2020,17:02:28,0.044
20-01-2020,17:02:58,0.045
20-01-2020,17:03:28,0.045
20-01-2020,17:03:58,0.045
20-01-2020,17:04:28,0.044
20-01-2020,17:04:58,0.044
20-01-2020,17:05:28,0.044
20-01-2020,17:05:58,0.044
20-01-2020,17:06:28,0.043
20-01-2020,17:06:58,0.044
20-01-2020,17:07:28,0.044
20-01-2020,17:07:58,0.044
20-01-2020,17:08:28,0.043
20-01-2020,17:08:58,0.042
20-01-2020,17:09:28,0.042
20-01-2020,17:09:58,0.044
20-01-2020,17:10:28,0.046
20-01-2020,17:10:58,0.044
20-01-2020,17:11:28,0.045
20-01-2020,17:11:58,0.045
20-01-2020,17:12:28,0.046
20-01-2020,17:12:58,0.045
20-01-2020,17:13:28,0.045
20-01-2020,17:13:58,0.048
20-01-2020,17:14:28,0.046
20-01-2020,17:14:58,0.048
20-01-2020,17:15:28,0.052
20-01-2020,17:15:58,0.049
20-01-2020,17:16:28,0.048
20-01-2020,17:16:58,0.048
20-01-2020,17:17:28,0.046
20-01-2020,17:17:58,0.047
20-01-2020,17:18:28,0.045
20-01-2020,17:18:58,0.049
20-01-2020,17:19:28,0.048
20-01-2020,17:19:58,0.050
20-01-2020,17:20:28,0.050
20-01-2020,17:20:58,0.049
20-01-2020,17:21:28,0.049
20-01-2020,17:21:58,0.045
20-01-2020,17:22:28,0.044
20-01-2020,17:22:58,0.045
20-01-2020,17:23:28,0.044
20-01-2020,17:23:58,0.044
20-01-2020,17:24:28,0.044
20-01-2020,17:24:58,0.046
20-01-2020,17:25:28,0.047
20-01-2020,17:25:58,0.046
20-01-2020,17:26:28,0.055
20-01-2020,17:26:58,0.051
20-01-2020,17:27:28,0.052
20-01-2020,17:27:58,0.052
20-01-2020,17:28:28,0.054
20-01-2020,17:28:58,0.051
20-01-2020,17:29:28,0.053
20-01-2020,17:29:58,0.050
20-01-2020,17:30:28,0.049
20-01-2020,17:30:58,0.052
20-01-2020,17:31:28,0.053
20-01-2020,17:31:58,0.047
20-01-2020,17:32:28,0.046
20-01-2020,17:32:58,0.044
20-01-2020,17:33:28,0.047
20-01-2020,17:33:58,0.046
20-01-2020,17:34:28,0.048
20-01-2020,17:34:58,0.045
20-01-2020,17:35:28,0.044
20-01-2020,17:35:58,0.045
20-01-2020,17:36:28,0.045
20-01-2020,17:36:58,0.046
20-01-2020,17:37:28,0.047
20-01-2020,17:37:58,0.048
20-01-2020,17:38:28,0.047
20-01-2020,17:38:58,0.047
20-01-2020,17:39:28,0.047
20-01-2020,17:39:58,0.047
20-01-2020,17:40:28,0.048
20-01-2020,17:40:58,0.048
20-01-2020,17:41:28,0.050
20-01-2020,17:41:58,0.050
20-01-2020,17:42:28,0.051
20-01-2020,17:42:58,0.053
20-01-2020,17:43:28,0.053
20-01-2020,17:43:58,0.053
20-01-2020,17:44:28,0.054
20-01-2020,17:44:58,0.054
20-01-2020,17:45:28,0.052
20-01-2020,17:45:58,0.053
20-01-2020,17:46:28,0.054
20-01-2020,17:46:58,0.056
20-01-2020,17:47:28,0.057
20-01-2020,17:47:58,0.057
20-01-2020,17:48:28,0.055
20-01-2020,17:48:58,0.055
20-01-2020,17:49:28,0.053
20-01-2020,17:49:58,0.052
20-01-2020,17:50:28,0.051
20-01-2020,17:50:58,0.054
20-01-2020,17:51:28,0.054
20-01-2020,17:51:58,0.052
20-01-2020,17:52:28,0.056
20-01-2020,17:52:58,0.054
20-01-2020,17:53:28,0.051
